,recipe,n,k,k+0,OPT_GFT,SBB_External_Competition_k',%k',gft,%gft,SBB_Ascending_Prices_k,%k',gft,%gft
stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
A,1:1:1,2,1,1,8.05,1,100.0,8.05,100.0,1,100.0,8.05,100.0,1,100.0,8.05,100.0,1,100.0,8.05,100.0,1,100.0,8.05,100.0,1,100.0,8.05,100.0,1,100.0,8.05,100.0,1,100.0,8.05,100.0
A,1:1:1,3,2,2,12.83,2,100.0,12.83,100.0,2,100.0,12.83,100.0,2,100.0,12.83,100.0,2,100.0,12.83,100.0,2,100.0,12.83,100.0,2,100.0,12.83,100.0,2,100.0,12.83,100.0,2,100.0,12.83,100.0
A,1:1:1,4,3,3,13.64,2,66.666,12.61,92.459,2,66.666,12.61,92.459,2,66.666,12.61,92.459,2,66.666,12.61,92.459,2,66.666,12.61,92.459,2,66.666,12.61,92.459,2,66.666,12.61,92.459,2,66.666,12.61,92.459
A,1:1:1,5,4,4,15.96,3,75.0,14.74,92.367,3,75.0,14.74,92.367,3,75.0,14.74,92.367,3,75.0,14.74,92.367,3,75.0,14.74,92.367,3,75.0,14.74,92.367,3,75.0,14.74,92.367,3,75.0,14.74,92.367
A,1:1:1,10,7,7,28.34,6,85.714,26.89,94.885,6,85.714,26.89,94.885,6,85.714,26.89,94.885,6,85.714,26.89,94.885,6,85.714,26.89,94.885,6,85.714,26.89,94.885,6,85.714,26.89,94.885,6,85.714,26.89,94.885
A,1:1:1,15,9,9,52.22,8,88.88799999999998,50.66,97.01299999999999,8,88.88799999999998,50.66,97.01299999999999,8,88.88799999999998,50.66,97.01299999999999,8,88.88799999999998,50.66,97.01299999999999,8,88.88799999999998,50.66,97.01299999999999,8,88.88799999999998,50.66,97.01299999999999,8,88.88799999999998,50.66,97.01299999999999,8,88.88799999999998,50.66,97.01299999999999
A,1:1:1,25,14,14,92.63,14,100.0,92.63,100.0,14,100.0,92.63,100.0,14,100.0,92.63,100.0,14,100.0,92.63,100.0,14,100.0,92.63,100.0,14,100.0,92.63,100.0,14,100.0,92.63,100.0,14,100.0,92.63,100.0
A,1:1:1,50,26,26,901.33,25,96.15299999999999,896.68,99.484,25,96.15299999999999,896.68,99.484,25,96.15299999999999,896.68,99.484,25,96.15299999999999,896.68,99.484,25,96.15299999999999,896.68,99.484,25,96.15299999999999,896.68,99.484,25,96.15299999999999,896.68,99.484,25,96.15299999999999,896.68,99.484
A,1:1:1,100,52,52,3807.48,51,98.07600000000001,3778.75,99.245,51,98.07600000000001,3778.75,99.245,51,98.07600000000001,3778.75,99.245,51,98.07600000000001,3778.75,99.245,51,98.07600000000001,3778.75,99.245,51,98.07600000000001,3778.75,99.245,51,98.07600000000001,3778.75,99.245,51,98.07600000000001,3778.75,99.245
A,1:1:1,500,255,255,14396.39,255,100.0,14396.39,100.0,255,100.0,14396.39,100.0,255,100.0,14396.39,100.0,255,100.0,14396.39,100.0,255,100.0,14396.39,100.0,255,100.0,14396.39,100.0,255,100.0,14396.39,100.0,255,100.0,14396.39,100.0
